SEQENCE ID                     TM SP PREDICTION
PF3D7_0103300.1-p1              0  0 i
PF3D7_0103500.1-p1              5  0 o297-315i327-344o883-902i1277-1293o1777-1798i
PF3D7_0104500.1-p1              0  0 i
PF3D7_0104600.1-p1              0  0 i
PF3D7_0105400.1-p1              1  Y n3-13c20/21o87-110i
PF3D7_0105400.2-p1              1  Y n3-13c20/21o80-103i
PF3D7_0105500.1-p1              0  0 i
PF3D7_0106000.1-p1              0  0 i
PF3D7_0106500.1-p1              0  0 i
PF3D7_0106600.1-p1              0  Y n4-14c18/19o
PF3D7_0107100.1-p1              0  0 i
PF3D7_0107300.1-p1              0  Y n7-14c22/23o
PF3D7_0107900.1-p1              0  Y n2-13c18/19o
PF3D7_0108100.1-p1              0  0 i
PF3D7_0108300.1-p1              0  0 i
PF3D7_0110000.1-p1              1  0 o6-24i
PF3D7_0111200.1-p1              0  0 i
PF3D7_0111400.1-p1              0  0 i
PF3D7_0111600.1-p1              0  0 i
PF3D7_0111700.1-p1              0  0 i
PF3D7_0202800.1-p1              0  0 i
PF3D7_0203200.1-p1              0  0 i
PF3D7_0203400.1-p1              0  0 i
PF3D7_0203600.1-p1              2  0 i121-141o473-495i
PF3D7_0204300.1-p1              0  0 i
PF3D7_0205000.1-p1              0  0 i
PF3D7_0205100.1-p1              0  0 i
PF3D7_0205300.1-p1              0  0 i
PF3D7_0205600.1-p1              1  0 o354-373i
PF3D7_0206500.1-p1              0  0 i
PF3D7_0207100.1-p1              0  0 i
PF3D7_0208300.1-p1              1  0 o1715-1734i
PF3D7_0209500.1-p1              0  0 i
PF3D7_0210200.1-p1              0  0 i
PF3D7_0210500.1-p1              0  0 i
PF3D7_0210800.1-p1              3  Y n9-20c25/26o257-279i360-380o386-402i
PF3D7_0210900.1-p1              0  0 i
PF3D7_0211100.1-p1              0  0 i
PF3D7_0212100.1-p1              0  0 i
PF3D7_0213000.1-p1              1  0 o30-47i
PF3D7_0213300.1-p1              0  0 i
PF3D7_0213600.1-p1              2  0 o854-873i880-897o
PF3D7_0213700.1-p1              0  0 i
PF3D7_0213800.1-p1              0  0 i
PF3D7_0214300.1-p1              0  0 i
PF3D7_0214500.1-p1              0  0 i
PF3D7_0214700.1-p1              0  0 i
PF3D7_0215200.1-p1              0  0 i
PF3D7_0215500.1-p1              0  0 i
PF3D7_0216100.1-p1              5  0 o706-732i744-761o796-822i1045-1063o1103-1122i
PF3D7_0216300.1-p1              6  0 i164-184o204-225i408-427o985-1004i1206-1225o1231-1252i
PF3D7_0216900.1-p1              0  0 i
PF3D7_0217200.1-p1              3  0 o1455-1474i1495-1516o1528-1544i
PF3D7_0217400.1-p1              1  0 o90-109i
PF3D7_0217600.1-p1              5  0 i109-127o139-155i176-197o217-239i259-275o
PF3D7_0218100.1-p1              6  0 i100-123o138-159i234-252o258-276i288-306o318-339i
PF3D7_0219300.1-p1              1  0 i81-101o
PF3D7_0301900.1-p1              1  0 o161-179i
PF3D7_0304300.1-p1              1  0 i21-39o
PF3D7_0304700.1-p1              0  Y n4-14c21/22o
PF3D7_0304900.1-p1              0  0 i
PF3D7_0305100.1-p1              6  0 o1509-1536i1819-1836o2299-2319i2741-2760o2936-2959i2971-2989o
PF3D7_0305400.1-p1              0  0 i
PF3D7_0305900.1-p1              3  0 i103-123o129-147i154-172o
PF3D7_0306100.1-p1              0  0 i
PF3D7_0307600.1-p1              0  0 i
PF3D7_0307900.1-p1              3  0 o2235-2254i2635-2656o3613-3632i
PF3D7_0308700.1-p1              0  0 i
PF3D7_0308800.1-p1              0  0 i
PF3D7_0309900.1-p1              2  0 o650-670i1070-1091o
PF3D7_0310800.1-p1              2  0 i7-26o46-64i
PF3D7_0310900.1-p1              0  0 i
PF3D7_0311000.1-p1              2  0 i84-109o115-143i
PF3D7_0311500.1-p1              2  0 i21-45o51-77i
PF3D7_0313000.1-p1              0  0 i
PF3D7_0313200.1-p1              0  0 i
PF3D7_0313400.1-p1              0  0 i
PF3D7_0313600.1-p1              0  0 i
PF3D7_0313700.1-p1              0  Y n4-15c22/23o
PF3D7_0313800.1-p1              1  0 o6-26i
PF3D7_0313900.1-p1              1  Y n9-16c21/22o1036-1058i
PF3D7_0314200.1-p1              1  0 i211-230o
PF3D7_0314500.1-p1              0  0 i
PF3D7_0314600.1-p1              0  0 i
PF3D7_0314800.1-p1              0  0 i
PF3D7_0315300.1-p1              5  0 o513-531i1228-1249o1255-1272i1363-1381o1453-1469i
